"City","State","Latitude","Longitude"
"Atkinson","NC",34.528501,-78.171107
"Donnelly","ID",44.730965,-116.078276
"Webster","PA",40.185071,-79.848658
"Blooming Prairie","MN",43.866629,-93.051031
"Dickson City","PA",41.471469,-75.607688
"Flaxton","ND",48.898639,-102.392391
"Lamont","KS",38.112523,-96.026659
"Stone","ID",42.016308,-112.695257
"Westwood","KS",39.040561,-94.616901
"Salisbury","VT",43.896451,-73.099836
"Kent","AL",32.619021,-85.948572
"Garden Grove","CA",33.773905,-117.941448
"Cullom","IL",40.877812,-88.269218
"Thomas","PA",40.23757,-80.093943
"Fletcher","OH",40.144775,-84.112441
"Cerro Gordo","NC",34.322112,-78.926416
"Marley","IL",41.548643,-87.925609
"Hooper Bay","AK",61.531111,-166.096667
"Lake Hamilton","FL",28.044464,-81.627854
"Meire Grove","MN",45.629687,-94.869183
"Bakerstown Station","PA",40.655344,-79.972557
"Bangor","PA",40.865651,-75.206568
"Laurel Bay","SC",32.450191,-80.784829
"La Mesa","CA",32.767829,-117.023084
"Edmondson","AR",35.106481,-90.310375
"Union Valley","TX",32.927344,-96.25109
"East Rochester","OH",40.74617,-81.035094
"Henderson","WV",38.833692,-82.1382
"Smithville Flats","NY",42.395072,-75.807972
"Nankin","OH",40.921445,-82.281828
"Cobb Island","MD",38.258463,-76.843858
"Turnersville","NJ",39.77317,-75.051281
"North Rock Springs","WY",41.643575,-109.265684
"Colfax","KY",38.21258,-83.63408
"Summerfield","OH",39.796739,-81.335949
"Wheeler Ridge","CA",35.004413,-118.949546
"Westphalia","IN",38.862824,-87.225569
"Sylvester","GA",31.530735,-83.835454
"Buffalo","MO",37.643929,-93.092409
"Licking","MO",37.499488,-91.857098
"New Buffalo","PA",40.454252,-76.969699
"White Mills","PA",41.5262,-75.203508
"McCaskill","AR",33.916778,-93.641569
"Frenchburg","KY",37.950916,-83.625745
"Red Shirt","SD",43.667489,-102.898797
"Hewlett","NY",40.643159,-73.695686
"Lamar","PA",41.016177,-77.531103
"White Mountain Lake","AZ",34.348651,-109.997889
"Ogden","UT",41.223,-111.97383
"Sleepy Hollow","CA",33.947792,-117.778668
"McBean","GA",33.243479,-81.950672
"Overton","NE",40.73862,-99.537605
"Gurdon","AR",33.920937,-93.154059
"Erie","PA",42.129224,-80.085059
"Whitneyville","ME",44.722021,-67.523326
"Dexter","OR",43.915959,-122.822851
"Muleshoe","TX",34.226468,-102.723826
"Chateaugay","NY",44.926434,-74.079608
"Harwick","PA",40.556734,-79.805049
"Watova","OK",36.621261,-95.679596
"Dalton","GA",34.769802,-84.970223
"Wellington","KS",37.2653,-97.371712
"Nicholson","GA",34.113999,-83.431549
"Tallula","IL",39.944493,-89.937334
"Middle Grove","MO",39.395038,-92.270456
"Jemez Pueblo","NM",35.613917,-106.725868
"New Leipzig","ND",46.376117,-101.939872
"Interlaken","CA",36.951341,-121.733838
"Rome","MS",33.963168,-90.478427
"Bent","NM",33.158695,-105.856933
"Lennox","SD",43.354148,-96.891995
"Ainsworth","IN",41.487815,-87.258646
"Phelps","KY",37.512885,-82.150133
"Foley","AL",30.406587,-87.683597
"Willsboro","NY",44.357272,-73.392074
"Downsville","MD",39.548431,-77.801661
"Poth","TX",29.069692,-98.081951
"Cosmos","MN",44.936073,-94.696661
"Firesteel","SD",45.424706,-101.285148
"Crandall","MS",31.974595,-88.532256
"Loysville","PA",40.365639,-77.34443
"Coleharbor","ND",47.544165,-101.223766
"Tennessee City","TN",36.093116,-87.514737
"Jacobs","TX",34.080076,-100.213723
"Meyers Chuck","AK",55.740833,-132.256389
"Warnerton","LA",30.99018,-90.183145
"Bear Creek","CA",37.297164,-120.417409
"Ruby","AK",64.739444,-155.486944
"Mineral","WA",46.717052,-122.180942
"Almond","NC",35.369815,-83.565164
"East Hampton","CT",41.575933,-72.502588
"Ducor","CA",35.89162,-119.047324
"Atlantic Beach","NC",34.69905,-76.740211
"Oswegatchie","NY",44.18284,-75.070196
"Scanlon","MN",46.70661,-92.428246
"West Union","SC",34.759818,-83.04293
"Fall Branch","TN",36.418157,-82.623764
"Castleton","VT",43.610622,-73.179832
"Tribes Hill","NY",42.955352,-74.285133
"Carolina Beach","NC",34.035173,-77.893597
"Mount Carmel","UT",37.247206,-112.664377
"Buffalo","MN",45.171908,-93.874694
"Selma","KS",38.13475,-95.123306
"Smarr","GA",32.985411,-83.882129
"Lane","OK",34.302654,-96.011825
"Ocheyedan","IA",43.416078,-95.53473
"Bellmore","NY",40.668712,-73.527071
"Lake Havasu City","AZ",34.483901,-114.322455
"Petal","MS",31.346563,-89.26006
"Auburn","CA",38.896565,-121.07689
"Cullen","LA",32.969026,-93.450728
"Ewell","MD",37.99568,-76.033269
"Kent","AR",33.625668,-92.813218
"Causey","NM",33.879257,-103.126613
"Annette","AK",55.061667,-131.541667
"Fletcher","OK",34.827071,-98.267999
"Dakota City","NE",42.41555,-96.418364
"Hidden Timber","SD",43.22945,-100.42152
"West Point","IA",40.716704,-91.450154
"Point Harbor","NC",36.078775,-75.794629
"Kirkersville","OH",39.959508,-82.595718
"Solon","NY",42.597014,-76.016869
"Topsfield","MA",42.637594,-70.949497
"Stonybrook","PA",39.987043,-76.644133
"Brookesmith","TX",31.550436,-99.118662
"Ethel","MO",39.894752,-92.737972
"Franklin Park","NJ",40.443873,-74.543196
"Normal","IL",40.514203,-88.990631
"Buckhorn","KY",37.348702,-83.476296
"Marcus","SD",44.658045,-102.273219
"Prospect Heights","IL",42.095305,-87.937569
"Forest Center","MN",47.794901,-91.307635
"Snowflake","AZ",34.51337,-110.078449
"Morro Bay","CA",35.365808,-120.849901
"Bennett","NC",35.565421,-79.543636
"Pencer","MN",48.699144,-95.637761
"Beattie","KS",39.861112,-96.419736
"Haiwee","CA",36.146608,-117.975913
"Deal","NJ",40.243168,-74.000693
"Sylva","NC",35.373711,-83.22598
"Berkshire","NY",42.30424,-76.186596
"Cuartelez","NM",35.992825,-106.019679
"Broughton","IL",37.93477,-88.461993
"Portland","ND",47.498319,-97.370369
"Canton","GA",34.236762,-84.490762
"Churchill","MT",45.750762,-111.304402
"Hedrick","IA",41.172513,-92.308795
"Knoxville","MO",39.446121,-94.016885
"Paramount","CA",33.88946,-118.159791
"Fowler","IN",40.616704,-87.320852
"Saint Anthony","IA",42.122209,-93.194926
"Birch Run","MI",43.250858,-83.794131
"Rossville","GA",34.983131,-85.286068
"Sun Valley","AZ",34.98058,-110.058175
"Dupont","OH",41.056439,-84.304391
"Bremen","AL",33.994546,-86.970003
"Atascocita","TX",29.998831,-95.176598
"Southern Shores","NC",36.139053,-75.731572
"Grafton","MA",42.207039,-71.685624
"Forsyth","GA",33.034297,-83.938242
"Bates","AR",34.908156,-94.386884
"Elkatawa","KY",37.557034,-83.426848
"Watonga","OK",35.848713,-98.436911
"Tichigan","WI",42.828905,-88.19759
"Broadmoor","CA",37.6866,-122.482751
"Lund","ID",42.642697,-111.888567
"Tucker","GA",33.854548,-84.217142
"Farson","IA",41.122314,-92.255188
"Livia","KY",37.570881,-87.104441
"Las Palomas","NM",33.062571,-107.298361
"Glen Ellyn","IL",41.877529,-88.067012
"Lynbrook","NY",40.654825,-73.671797
"Stanford","IL",40.434761,-89.217864
"Dyer","TN",36.066735,-88.993955
"Westmont","PA",40.31563,-78.951693
"Nemah","WA",46.512045,-123.885993
"Saint Charles","IL",41.914195,-88.308687
"Hollywood","MD",38.345959,-76.571624
"West Mystic","CT",41.350654,-71.982018
"Mosher","SD",43.468332,-100.298189
"Plattville","IL",41.531697,-88.381457
"Letts","IA",41.32836,-91.237097
"Meadowlands","MN",47.071884,-92.732416
"Gibson Island","MD",39.074277,-76.423848
"Neutral","KS",37.097841,-94.794953
"Christopher Creek","AZ",34.315314,-111.017074
"Dry Creek","LA",30.669086,-93.045433
"Finlay","TX",31.258737,-105.629961
"Geneseo","IL",41.44809,-90.154285
"Sacaton","AZ",33.076723,-111.739299
"Tonto Basin","AZ",33.831711,-111.294575
"Colfax","LA",31.519062,-92.706816
"Fruitland","TX",33.501775,-97.795589
"Wheatland","IA",41.831691,-90.838201
"Circleville","WV",38.670948,-79.49116
"Eagle Butte","SD",45.00248,-101.233485
"Stippville","KS",37.222281,-94.837737
"Topsfield","ME",45.418959,-67.73556
"Saint Michaels","MD",38.785117,-76.224392
"Chittenden","VT",43.707845,-72.948163
"Gate City","VA",36.637877,-82.580988
"Boschertown","MO",38.833384,-90.470118
"Green Valley","MN",44.526902,-95.757243
"Ethel","MS",33.120406,-89.465906
"Germantown","IA",42.953317,-95.780846
"Fireco","WV",37.644838,-81.198155
"Sheep Springs","NM",36.143056,-108.710278
"Foresthill","CA",39.020177,-120.817989
"Glen White","WV",37.730392,-81.279824
"Ina","IL",38.151161,-88.903955
"Chuichu","AZ",32.752002,-111.783184
"Nebo","IL",39.442548,-90.790961
"Conway","FL",28.502781,-81.330625
"Keene","TX",32.396809,-97.323904
"Atkinson","NH",42.838422,-71.147004
"Redondo","WA",47.348433,-122.323456
"Hartsville","NY",42.247015,-77.693881
"Montgomeryville","PA",40.247329,-75.243785
"Fenwood","WI",44.866077,-90.015408
"Stockton","UT",40.452722,-112.360782
"Neah Bay","WA",48.368122,-124.62496
"Renner","SD",43.64553,-96.728384
"Melder","LA",31.105187,-92.636532
"Penney Farms","FL",29.979685,-81.810374
"Sardinia","IN",39.153941,-85.631085
"Darby","PA",39.918446,-75.259072
"Moiese","MT",47.370486,-114.265952
"Carmel","ME",44.797569,-69.051154
"Central Garage","VA",37.744031,-77.13164
"Lone Star","TX",32.944019,-94.707151
"Genesee","ID",46.55072,-116.925436
"Beardsley","AZ",33.661426,-112.379052
"Westville","FL",30.774633,-85.851601
"Akiak","AK",60.912222,-161.213889
"Naches","WA",46.730958,-120.699516
"Laurel","MT",45.669116,-108.771533
"Myakka City","FL",27.349767,-82.161478
"Attapulgus","GA",30.749081,-84.4838
"Mint Hill","NC",35.179589,-80.64729
"Bfalo","PR",18.417417,-66.574928
"Millersburg","PA",40.539529,-76.96081
"Harcuvar","AZ",33.760031,-113.653264
"Stitzer","WI",42.926656,-90.623182
"Orange City","FL",28.948876,-81.298674
"Sumiton","AL",33.755661,-87.049999
"WaKeeney","KS",39.025008,-99.879566
"Redbank","TX",33.525955,-94.258809
"Priddy","TX",31.675432,-98.508931
"Montgomery","TX",30.388261,-95.696336
"Lyndell","PA",40.059548,-75.744659
"San Juan Pueblo","NM",36.052801,-106.070579
"Sparks","OK",35.61207,-96.844916
"Zortman","MT",47.917774,-108.526258
"Gwynedd Valley","PA",40.184275,-75.256288
"Black Oak","IN",41.566147,-87.39365
"Heltonville","IN",38.927828,-86.375546
"New Troy","MI",41.876433,-86.549743
"Laurel","MS",31.694051,-89.130612
"Portia","AR",36.086459,-91.067346
"Torrington","WY",42.062465,-104.184394
"Paw Creek","NC",35.274862,-80.938406
"Horseshoe Bay","TX",30.548246,-98.337802
"Fence Lake","NM",34.653376,-108.677852
"Crescent City","IL",40.770035,-87.858925
"Gaylesville","AL",34.268426,-85.556906
"Braddock","PA",40.403402,-79.868382
"Belleville","WI",42.859724,-89.538177
"Coppock","IA",41.162242,-91.711278
"Sublett","KY",37.677594,-83.037391
"Allendale","WY",42.814687,-106.310581
"New Albany","KS",37.568376,-95.937761
"Coryville","PA",41.882564,-78.398351
"Cearfoss","MD",39.700928,-77.77555
"Atkinson","NE",42.531391,-98.978152
"Wills Point","TX",32.709296,-96.008302
"Tabor","NJ",40.87121,-74.479878
"Ketchum","ID",43.68074,-114.363662
"Mynard","NE",40.97361,-95.923898
"Grantwood Village","MO",38.550331,-90.354561
"Underwood","ND",47.456386,-101.137096
"Hot Springs","VA",37.99957,-79.831719
"Parishville","NY",44.62867,-74.813804
"Mansfield","PA",41.807296,-77.077468
"West Boylston","MA",42.366759,-71.785627
"Signal Mountain","TN",35.122573,-85.343849
"Pleasant Hill","NM",34.520351,-103.073835
"Dexterville","WI",44.376351,-90.110687
"Touchet","WA",46.039857,-118.672208
"Doyleville","CO",38.452506,-106.6120295
"Buffalo","MT",46.82107,-109.828521
"Tampa","KS",38.547231,-97.153077
"Ferndale","PA",40.5350805,-77.7440195
"Dover","GA",32.577117,-81.71511
"Towns","GA",32.004344,-82.754586
"Ross","OH",39.312278,-84.650503
"Laplace","LA",30.066591,-90.480085
"Lancaster","TX",32.59208,-96.756108
"Corning","CA",39.927657,-122.179156
"Poultney","VT",43.517013,-73.23622
"Port Washington","OH",40.328124,-81.520673
"Holland","PA",40.172887,-74.992669
"Berrydale","FL",30.899351,-87.013854
"Clairfield","TN",36.55008,-83.950201
"Buford","ND",47.998632,-103.991321
"Washington Heights","NY",41.470094,-74.415712
"Fort Ogden","FL",27.087277,-81.952308
"Perth Amboy","NJ",40.506772,-74.265423
"Rome","MO",36.841446,-92.773503
"Tenafly","NJ",40.925377,-73.962915
"Totz","KY",36.944813,-83.117669
"Leesburg","IN",41.33199,-85.849992
"Etna","OH",39.957286,-82.681834
"Norwich","NY",42.531184,-75.523515
"Bowdoin","MT",48.392774,-107.606215
"Lostwood","ND",48.47558,-102.424064
"Whiteash","IL",37.785369,-88.92931
"Rome","ME",44.585064,-69.869219
"Sparta","GA",33.275701,-82.976259
"Lake of the Woods","AZ",34.163932,-109.989552
"Freeman","WA",47.51823,-117.195754
"Biddeford","ME",43.492584,-70.453384
"Shinrock","OH",41.346161,-82.521283
"West Point","IL",40.255046,-91.182642
"Withee","WI",44.956357,-90.597635
"Bennett","NM",32.067904,-103.211011
"Mount Moriah","MO",40.329728,-93.79467
"Lonerock","OR",45.089025,-119.883075
"Learned","MS",32.196817,-90.54732
"Rice","VA",37.275153,-78.291384
"Cedar Grove","FL",30.171035,-85.625205
"Rosboro","AR",34.287598,-93.508519
"Lakeport","TX",32.409041,-94.70521
"Greentown","OH",40.927557,-81.402612
"Collinsville","CT",41.812876,-72.920102
"Atomic City","ID",43.444909,-112.81277
"Norwood","OH",39.155615,-84.459664
"Reedsville","OH",39.121467,-81.747631
"Iron Mountain Lake","MO",37.693106,-90.622624
"Richfield","WI",43.256116,-88.193982
"Waddington","NY",44.8645,-75.204102
"Carrabassett","ME",45.077833,-70.212011
"Shady Grove","AL",31.909597,-86.162459
"Lexington","WA",46.187334,-122.90539
"Nekoma","ND",48.577224,-98.370392
"Kongiganak","AK",59.953273,-162.895133
"Biggersville","MS",34.835646,-88.558661
"Ware","TX",36.184754,-102.710197
"De Graff","OH",40.311996,-83.91577
"Wakulla","NC",34.792663,-79.255038
"Corral Viejo","PR",18.079962,-66.652951
"Arbon Valley","ID",42.884672,-112.594284
"Brazos","NM",36.751403,-106.561424
"Leon","IA",40.739724,-93.747722
"Granville","IL",41.261147,-89.227586
"Bella Villa","MO",38.541164,-90.280115
"Old Westbury","NY",40.788711,-73.599572
"Rosenhayn","NJ",39.478171,-75.131293
"Harmony","NC",35.955691,-80.771735
"Blakeley","MN",44.610796,-93.853298
"Dove Creek","CO",37.7661,-108.905939
"Kettering","OH",39.689504,-84.168827
"Wall","SD",43.992489,-102.241548
"Ramona","SD",44.119417,-97.216453
"South Bloomfield","OH",39.718396,-82.986849
"Apgar","MT",48.527745,-113.993174
"Singleton","CO",39.443044,-105.601948
"Mission","KS",39.027783,-94.655791
"Lansford","ND",48.628909,-101.375716
"Lerna","IL",39.418369,-88.288655
"Shenorock","NY",41.331761,-73.738188
"Green Valley","MD",39.309271,-77.297207
"McDonald","KS",39.78583,-101.375718
"North Attleborough","MA",41.984051,-71.33303
"Deckerville","AR",35.445084,-90.305098
"Lumber City","GA",31.929349,-82.679583
"Hunter","MO",36.890609,-90.849012
"McAfee","NJ",41.178429,-74.540437
"Ord","NE",41.603343,-98.926199
"Turtle Lake","WI",44.0608855,-90.411311
"Miller","IA",43.184125,-93.600212
"Saint Paul","OR",45.21123,-122.976766
"Overton","NV",36.543308,-114.446924
"Standish","CA",40.365177,-120.422164
"Fulton","WI",42.808062,-89.127614
"Level Plains","AL",31.299616,-85.777991
"Port Republic","NJ",39.520673,-74.485707
"Arion","IA",41.949155,-95.463611
"Eureka","MO",38.502554,-90.627904
"Fitzpatrick","AL",32.216534,-85.888843
"Crabapple","GA",34.090098,-84.338536
"Hollowayville","IL",41.365035,-89.297032
"Kamrar","IA",42.3922,-93.729385
"Colwell","IA",43.155805,-92.594074
"Bannock","OH",40.098681,-80.97704
"Brownsville","LA",32.48709,-92.154302
"Rote","PA",41.078958,-77.42026
"Braden","TN",35.379528,-89.568133
"Bohners Lake","WI",42.623073,-88.280369
"Alsuma","OK",36.099044,-95.887384
"Amsterdam","MT",45.757984,-111.319959
"Pittsburg","OK",34.7171,-95.873773
"Pacific Grove","CA",36.617737,-121.916622
"Au Gres","MI",44.048629,-83.695816
"Lemannville","LA",30.109366,-90.920375
"Ocean Gate","NJ",39.926785,-74.13375
"Honea Path","SC",34.446502,-82.391512
"El Rito","NM",36.343352,-106.188636
"Red Rock","MT",44.900475,-112.81891
"Whitewater","MO",37.237553,-89.795928
"Wauseon","OH",41.549218,-84.141615
"Bryan","OH",41.474773,-84.552451
"Blockton","IA",40.615545,-94.477183
"Schaffer","MI",45.761077,-87.298744
"Loomis","NE",40.478342,-99.50705
"Babbs","OK",34.95234,-99.083303
"Kennedyville","MD",39.305389,-75.994944
"Yanush","OK",34.71377,-95.337642
"Hewlett Neck","NY",40.623437,-73.698187
"Templeton","VA",37.082372,-77.354978
"Smallwood","NY",41.665367,-74.81933
"Earlville","IL",41.589475,-88.922027
"Minooka","IL",41.455308,-88.26173
"Wallace","CA",38.194085,-120.977996
"Murphytown","WV",39.233964,-81.443454
"Eagle Nest","NM",36.554754,-105.263618
"Thornton","WI",44.796647,-88.691214
"Cornwall","CT",41.843706,-73.329285
"Lovingston","VA",37.759864,-78.870855
"Grove City","FL",26.91423,-82.327039
"Helmville","MT",46.866603,-112.961164
"Corinth","NY",43.244517,-73.832345
"Prospect Valley","CO",40.073594,-104.414956
"Winnett","MT",47.002759,-108.352072
"Hollywood","MO",36.054236,-90.186207
"Knightstown","IN",39.795601,-85.526363
"Westphalia","IA",41.71971,-95.394722
"Bridgeport","WA",48.0082,-119.671164
"Cameron","TX",30.853245,-96.97693
"Brandywine","WV",38.62484,-79.244761
"Souris","ND",48.909738,-100.681539
"Palmas","PR",17.987189,-66.025442
"Turley","NM",36.752505,-107.76506
"Parkersburg","WV",39.266742,-81.561514
"New Ulm","MN",44.312463,-94.460529
"Millville","CA",40.54932,-122.175279
"Dennard","AR",35.756744,-92.524605
"Sappho","WA",48.070079,-124.279378
"Richwood","LA",32.448757,-92.084856
"Coleman","WI",45.064984,-88.03427
"Gunlock","UT",37.286089,-113.763299
"Ainsworth","IA",41.28891,-91.552384
"Bendena","KS",39.741108,-95.179418
"Old Monroe","MO",38.931718,-90.746792
"Bolton","NC",34.320724,-78.40195
"Ozona","MS",30.584635,-89.663676
"Wessington Springs","SD",44.079157,-98.569536
"Corunna","MI",42.981973,-84.117745
"Eagle Lake","FL",27.978357,-81.756469
"Worley","ID",47.400736,-116.917125
"Gorgas","AL",33.649275,-87.208056
"Garwood","TX",29.449688,-96.396912
"Burnettown","SC",33.515415,-81.849001
"Winstonville","MS",33.910111,-90.751488
"Newfoundland","KY",38.131473,-83.099339
"Trinway","OH",40.14118,-82.009859
"Medley","FL",25.840653,-80.32644
"Riverside","CA",33.953349,-117.396156
"Eldorado","TX",30.860174,-100.60093
"Peoria","KS",38.584735,-95.14886
"Bunnlevel","NC",35.309606,-78.780299
"Whitewater","MT",48.759451,-107.627591
"Edgar","MT",45.46467,-108.852366
"Millerstown","PA",40.5997965,-78.4768225
"Natural Bridge","VA",37.630134,-79.543094
"Eau Claire","MI",41.985045,-86.299739
"Nounan","ID",42.477702,-111.451047
"Beaumont","MS",31.16935,-88.920044
"Maple Hill","KS",39.084722,-96.028047
"Linn Creek","MO",38.03809,-92.711573
"Dike","IA",42.46415,-92.62825
"Gueydan","LA",30.02604,-92.508469
"Chouteau","OK",36.189878,-95.366807
"Camp Lake","WI",42.534741,-88.143698
"Zion","KY",37.814765,-87.48362
"Limestone","IL",41.132143,-87.968352
"Antoine","AR",34.036215,-93.420734
"Foxborough","MA",42.065377,-71.247831
"Shiremanstown","PA",40.223423,-76.953586
"Pleasant Hill","NC",36.257356,-80.883406
"Blountville","TN",36.533159,-82.326806
"Blacksville","WV",39.720079,-80.212016
"Lowes","KY",36.885612,-88.773943
"Fincastle","VA",37.499299,-79.877265
"Stonington","CO",37.29363,-102.187402
"De Smet","MT",46.933256,-114.103168
"Amsterdam","MO",38.349742,-94.589122
"West Bend","IA",42.956914,-94.441084
"Honoraville","AL",31.850708,-86.406079
"McCuneville","OH",39.628958,-82.234315
"Lakehurst","NJ",40.014561,-74.311257
"Powderville","MT",45.758887,-105.115254
"Summit","KY",38.004376,-84.392565
"Cashion","AZ",33.43532,-112.297933
"McGrady","NC",36.343463,-81.224812
"Saint Anthony","ID",43.966301,-111.682185
"Tavistock","NJ",39.876225,-75.029614
"Diagonal","IA",40.809435,-94.342179
"Corinne","WV",37.572892,-81.356491
"Priest Point","WA",48.036762,-122.250973
"Opal Cliffs","CA",36.960784,-121.964127
"Hollywood","MS",34.745378,-90.358154
"Lignum","VA",38.415961,-77.82666
"Algonquin","IL",42.16558,-88.294249
"Hico","WV",38.117333,-81.005655
"Cataract","WI",44.087741,-90.842359
"Hutchins","GA",33.841786,-83.16793
"Meyersdale","PA",39.813693,-79.024748
"Pelham","GA",31.127685,-84.151847
"Ancor","OH",39.137283,-84.317716
"Winnsboro","TX",32.957345,-95.290222
"Stoneham","CO",40.60554,-103.666613
"Sandersville","MS",31.786548,-89.032276
"Rose","OK",36.223482,-95.053463
"Dexter","OH",39.087298,-82.212926
"Mekoryuk","AK",60.388056,-166.185
"Westhaven","CA",41.035958,-124.111179
"Branchburg Park","NJ",40.572325,-74.684882
"Eddyville","OR",44.634563,-123.7765
"Bach","MI",43.683073,-83.355789
"Catoosa","OK",36.192934,-95.7696
"Linton","GA",33.116538,-82.992647
"College Station","AR",34.708148,-92.221259
"Harmony","NJ",40.746765,-75.137397
"Kincaid","KS",38.084196,-95.153586
"Commerce","CA",34.000569,-118.159793
"Port Madison","WA",47.702597,-122.524302
"Alanreed","TX",35.212549,-100.734306
"Thunder Hawk","SD",45.938334,-101.974868
"Rivergrove","OR",45.39123,-122.733429
"Parshall","ND",47.953346,-102.134891
"McBaine","MO",38.88698,-92.446575
"Lewis","WI",45.710784,-92.402418
"North Brunswick","NJ",40.450441,-74.479996
"Arapahoe","CO",38.850007,-102.182128
"Stonington","CT",41.335933,-71.905904
"Germantown","IL",38.55366,-89.538421
"Colgate","WI",43.193062,-88.20676
"Herreid","SD",45.834714,-100.069284
"Los Trujillos","NM",34.646726,-106.76086
"Crystal City","MO",38.221166,-90.379009
"Beach Ridge","NY",43.084779,-78.823091
"Baltimore","MD",39.290385,-76.612189
"Gem Lake","MN",45.057466,-93.03244
"Claridge","PA",40.365624,-79.622265
"Wortham","TX",31.787942,-96.462481
"Stone Harbor","NJ",39.050947,-74.757942
"Berkeley","MO",38.754495,-90.331226
"Richwood","KY",38.920618,-84.624944
"Pierce City","MO",36.945895,-94.00021
"Relampago","TX",26.085077,-97.918612
"Purley","TX",33.09123,-95.262166
"Pittston","ME",44.221737,-69.7556
"Deloit","IA",42.097765,-95.322497
"Sadler","TX",33.682606,-96.848335
"Fort Meade","FL",27.752253,-81.801749
"Roselle","NJ",40.664269,-74.263202
"Thornton","WA",47.120726,-117.389633
"San Bruno","CA",37.63049,-122.411084
"Buckland","MA",42.592307,-72.79176
"Emerald","WI",45.083019,-92.258244
"Alcolu","SC",33.750995,-80.214246
"Chicopee","GA",34.253436,-83.84351
"West City","IL",37.993939,-88.935069
"Wheatland","IN",38.663659,-87.30946
"Methuen","MA",42.726202,-71.190892
"Charleston","WV",38.34982,-81.632623
"Jonesboro","TX",31.614603,-97.876694
"Aromas","CA",36.888565,-121.643001
"Mize","MS",31.868493,-89.555902
"Garland","ME",45.038395,-69.16032
"Letts","IN",39.235051,-85.564973
"Tusayan","AZ",35.973595,-112.126557
"Temelec","CA",38.266582,-122.492759
"Waihee","HI",20.930899,-156.510029
"Durbin","FL",30.087465,-81.461194
"Alabam","AR",36.152575,-93.681302
"Tipton","KS",39.343065,-98.470897
